Timestamp,X,Y,Z
0.004,-0.30814195,0.054595318,9.645425
0.025,-0.30792883,0.05435914,9.64512
0.045,-0.30775487,0.054263532,9.6455345
0.065,-0.30730352,0.054277852,9.645168
0.086,-0.30705613,0.053802136,9.645216
0.106,-0.30696732,0.053837497,9.64494
0.126,-0.30640316,0.05406332,9.644804
0.146,-0.30667305,0.054195564,9.646058
0.167,-0.3059816,0.05379241,9.6456585
0.187,-0.30584225,0.054166958,9.645989
0.207,-0.30568215,0.05395498,9.646182
0.227,-0.30605325,0.054029904,9.646806
0.248,-0.30632025,0.05394141,9.646855
0.268,-0.30600712,0.053713802,9.647354
0.288,-0.30624795,0.053569112,9.647864
0.308,-0.3066525,0.05372101,9.648138
0.328,-0.30691987,0.053526286,9.649083
0.349,-0.30699545,0.053856835,9.649072
0.369,-0.3067294,0.053921025,9.6492815
0.389,-0.30650347,0.053775713,9.649164
0.409,-0.30661696,0.053737402,9.649548
0.43,-0.306577,0.05377195,9.649058
0.45,-0.30713633,0.05382803,9.65002
0.471,-0.30695328,0.05384548,9.649673
0.491,-0.30736205,0.053664897,9.650418
0.511,-0.30707306,0.053622596,9.650155
0.531,-0.30726007,0.05361909,9.651035
0.552,-0.3068692,0.053608004,9.65117
0.572,-0.30701995,0.053154383,9.651688
0.592,-0.30662617,0.05307615,9.651306
0.612,-0.30683538,0.053441748,9.651117
0.633,-0.30656323,0.053458434,9.650895
0.653,-0.30662704,0.053580936,9.651024
0.673,-0.30575147,0.053710554,9.650957
0.693,-0.30589047,0.053685505,9.650494
0.714,-0.3055157,0.053906962,9.650157
0.734,-0.3053513,0.054077517,9.649262
0.754,-0.30506828,0.054179125,9.649132
0.774,-0.3045365,0.054322075,9.649056
0.795,-0.30414334,0.054112215,9.6489525
0.815,-0.30363038,0.05387501,9.648417
0.835,-0.30321652,0.05373503,9.647589
0.855,-0.3028582,0.05430317,9.647344
0.876,-0.3026014,0.054351084,9.6467905
0.896,-0.3017911,0.05389537,9.646172
0.916,-0.30198672,0.053594787,9.645563
0.937,-0.301283,0.0532023,9.644593
0.957,-0.30131817,0.053322695,9.644291
0.977,-0.30057514,0.052979916,9.643163
0.997,-0.30047494,0.05309511,9.643237
1.018,-0.2998284,0.052508596,9.643833
1.038,-0.29990098,0.0523489,9.645506
1.058,-0.2992253,0.05229785,9.645428
1.079,-0.2988791,0.052488066,9.645428
1.099,-0.29848015,0.052506756,9.644835
1.119,-0.29813957,0.05201742,9.644742
1.139,-0.2985403,0.052134756,9.646225
1.16,-0.29851395,0.05229316,9.647018
1.18,-0.29850668,0.05249402,9.64735
1.2,-0.29829866,0.052892666,9.647592
1.221,-0.2977528,0.053009767,9.64769
1.241,-0.2979634,0.052845743,9.648188
1.261,-0.29782975,0.052391745,9.648134
1.281,-0.2975754,0.052164797,9.648059
1.302,-0.29721123,0.052029792,9.648799
1.322,-0.29686308,0.05194788,9.649121
1.342,-0.29658583,0.052242287,9.649949
1.362,-0.2961831,0.052261323,9.649362
1.383,-0.29657966,0.052488957,9.649692
1.403,-0.2965123,0.052761637,9.648603
1.423,-0.29618892,0.05259313,9.648572
1.444,-0.29564664,0.052839626,9.648497
1.464,-0.2955322,0.052874763,9.6486635
1.485,-0.2949751,0.05293607,9.648741
1.505,-0.29508185,0.05310253,9.648476
1.525,-0.29455578,0.053391807,9.648646
1.545,-0.29432306,0.053509746,9.6484375
1.566,-0.29417807,0.05350318,9.648453
1.586,-0.2934069,0.0533946,9.648279
1.606,-0.2928614,0.0537713,9.648666
1.626,-0.292215,0.05345722,9.648137
1.647,-0.2919327,0.053341936,9.647827
1.667,-0.2915016,0.05367358,9.647044
1.687,-0.29122493,0.053912956,9.647343
1.707,-0.29030642,0.053673,9.646963
1.728,-0.29002118,0.053632546,9.6469
1.748,-0.28965783,0.05377908,9.647626
1.768,-0.28945,0.054058548,9.6470175
1.788,-0.28913012,0.054301243,9.646718
1.809,-0.28857496,0.05459443,9.646363
1.829,-0.28797403,0.054247856,9.646826
1.849,-0.28734517,0.054356147,9.6469555
1.87,-0.2870777,0.053987134,9.64728
1.89,-0.2865601,0.053797826,9.647286
1.91,-0.2860527,0.05349255,9.647219
1.93,-0.28602898,0.053777236,9.647179
1.951,-0.28569192,0.05350111,9.6473875
1.971,-0.28606215,0.05343513,9.648146
1.991,-0.28555125,0.053539705,9.6475315
2.011,-0.2854851,0.05370227,9.648276
2.032,-0.28494194,0.053704876,9.648442
2.052,-0.28484657,0.053796623,9.648803
2.072,-0.284906,0.053861495,9.649173
2.092,-0.2847575,0.054500215,9.6490555
2.113,-0.28453702,0.05526633,9.648977
2.133,-0.28380206,0.056140494,9.649142
2.153,-0.28381836,0.05712018,9.649807
2.174,-0.2833684,0.058387488,9.64992
2.194,-0.28315124,0.060126316,9.650168
2.214,-0.2827701,0.061105825,9.649198
2.234,-0.28281638,0.061423734,9.649118
2.255,-0.282288,0.061151687,9.648651
2.275,-0.28240788,0.06109343,9.64893
2.295,-0.2822852,0.059435032,9.649201
2.315,-0.28223172,0.058669243,9.649477
2.336,-0.28217182,0.058515552,9.649465
2.356,-0.28193477,0.06083484,9.650938
2.377,-0.28232235,0.066331506,9.651738
2.397,-0.28228012,0.073322,9.652639
2.418,-0.2821614,0.08050574,9.652316
2.438,-0.28171152,0.08723667,9.651092
2.458,-0.2812681,0.09544242,9.651592
2.479,-0.2809761,0.10061668,9.651985
2.499,-0.28215834,0.11121902,9.654177
2.519,-0.28242892,0.121849515,9.653786
2.539,-0.28260222,0.13460296,9.651728
2.56,-0.2819235,0.14860876,9.649556
2.58,-0.2821407,0.16125254,9.649293
2.6,-0.28213385,0.17214766,9.649793
2.621,-0.28212205,0.18064936,9.650642
2.641,-0.28226632,0.18765529,9.65144
2.662,-0.28228924,0.19393654,9.650963
2.682,-0.2816159,0.20095928,9.650039
2.702,-0.2811321,0.20864359,9.649095
2.722,-0.28020546,0.21658525,9.648725
2.743,-0.2791617,0.22646071,9.648312
2.763,-0.27797732,0.2354309,9.647821
2.783,-0.27754137,0.2435375,9.647402
2.803,-0.27667943,0.25179923,9.647586
2.824,-0.2760009,0.26053846,9.64782
2.844,-0.27522108,0.27231702,9.647656
2.864,-0.2750466,0.28509805,9.647616
2.885,-0.27448377,0.29882598,9.646292
2.905,-0.27375033,0.3129738,9.645723
2.925,-0.2728461,0.3270008,9.645147
2.945,-0.27279073,0.3369493,9.64556
2.966,-0.27169618,0.35623553,9.646043
2.986,-0.27137604,0.37031865,9.645771
3.006,-0.27074787,0.38455278,9.645287
3.026,-0.27001184,0.39805952,9.64488
3.047,-0.26991513,0.4105737,9.645722
3.067,-0.2684507,0.4319681,9.646472
