TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
0.004,0,Acceleration,1.5482327,0.037550863,9.54969
0.024,0,Acceleration,1.5470887,0.037504297,9.547822
0.044,0,Acceleration,1.547447,0.037755046,9.548951
0.064,0,Acceleration,1.5467011,0.037886184,9.5478115
0.085,0,Acceleration,1.5468282,0.03792934,9.548922
0.105,0,Acceleration,1.5464734,0.03812624,9.548167
0.125,0,Acceleration,1.5467366,0.038147252,9.548043
0.145,0,Acceleration,1.5462573,0.03826703,9.548229
0.166,0,Acceleration,1.5462964,0.038102776,9.548487
0.186,0,Acceleration,1.5463816,0.03811167,9.547721
0.206,0,Acceleration,1.5461832,0.03825469,9.547682
0.226,0,Acceleration,1.545903,0.038251664,9.547205
0.246,0,Acceleration,1.545515,0.038053315,9.547606
0.267,0,Acceleration,1.5452158,0.038150214,9.547321
0.287,0,Acceleration,1.5453413,0.038010076,9.546609
0.307,0,Acceleration,1.5452099,0.037736397,9.546483
0.327,0,Acceleration,1.5451648,0.037764546,9.54636
0.348,0,Acceleration,1.5451163,0.037946094,9.546488
0.368,0,Acceleration,1.5456792,0.03830628,9.546581
0.388,0,Acceleration,1.5456312,0.038105473,9.5469265
0.408,0,Acceleration,1.5453577,0.038244765,9.54667
0.429,0,Acceleration,1.5456479,0.03841986,9.547142
0.449,0,Acceleration,1.5457684,0.03850526,9.546868
0.469,0,Acceleration,1.5460759,0.038763333,9.547176
0.489,0,Acceleration,1.5458897,0.038815077,9.547264
0.51,0,Acceleration,1.546037,0.03873299,9.547488
0.53,0,Acceleration,1.5460151,0.038780343,9.54731
0.55,0,Acceleration,1.5460862,0.038425036,9.5477495
0.57,0,Acceleration,1.5460341,0.03821545,9.547017
0.591,0,Acceleration,1.5454732,0.037855197,9.548137
0.611,0,Acceleration,1.5458617,0.03780836,9.547707
0.631,0,Acceleration,1.5459143,0.037916943,9.547324
0.651,0,Acceleration,1.5459418,0.03804991,9.547184
0.672,0,Acceleration,1.5460192,0.038032696,9.547163
0.692,0,Acceleration,1.5455376,0.03815364,9.548208
0.712,0,Acceleration,1.5467643,0.0382531,9.547196
0.733,0,Acceleration,1.5466238,0.038087294,9.546811
0.753,0,Acceleration,1.5466506,0.038041398,9.546853
0.773,0,Acceleration,1.546418,0.037988048,9.546723
0.793,0,Acceleration,1.5461131,0.03784435,9.544999
0.814,0,Acceleration,1.5466069,0.038074,9.546301
0.834,0,Acceleration,1.546501,0.038240287,9.546634
0.854,0,Acceleration,1.5461634,0.038085062,9.547753
0.875,0,Acceleration,1.5459557,0.038066015,9.548799
0.895,0,Acceleration,1.5465133,0.038147565,9.545955
0.915,0,Acceleration,1.5460874,0.03828615,9.549446
0.935,0,Acceleration,1.5456069,0.03788372,9.549379
0.956,0,Acceleration,1.5456775,0.03779531,9.549494
0.976,0,Acceleration,1.5455966,0.03766613,9.549481
0.996,0,Acceleration,1.5465028,0.03756863,9.5479555
1.016,0,Acceleration,1.5450501,0.037308816,9.548673
1.037,0,Acceleration,1.5448245,0.03716631,9.548527
1.057,0,Acceleration,1.5447801,0.037124187,9.547922
1.077,0,Acceleration,1.544535,0.036933582,9.547969
1.097,0,Acceleration,1.5447603,0.03691968,9.547145
1.118,0,Acceleration,1.5447494,0.037354372,9.547242
1.138,0,Acceleration,1.5451088,0.037727356,9.54665
1.158,0,Acceleration,1.5449804,0.03773137,9.546846
1.179,0,Acceleration,1.5450829,0.037812017,9.546823
1.199,0,Acceleration,1.5454768,0.037650652,9.546267
1.219,0,Acceleration,1.5457366,0.037511792,9.546119
1.239,0,Acceleration,1.5461521,0.03776701,9.545845
1.26,0,Acceleration,1.5470937,0.037728485,9.545567
1.28,0,Acceleration,1.5464753,0.037742805,9.544742
1.3,0,Acceleration,1.5467608,0.03785323,9.54437
1.32,0,Acceleration,1.5469745,0.03786118,9.544588
1.341,0,Acceleration,1.5470926,0.03791681,9.544375
1.361,0,Acceleration,1.5474274,0.03773919,9.544557
1.381,0,Acceleration,1.5479552,0.038064532,9.544767
1.401,0,Acceleration,1.5478126,0.037946753,9.545227
1.422,0,Acceleration,1.547802,0.03818667,9.545059
1.442,0,Acceleration,1.5475847,0.03776167,9.545557
1.462,0,Acceleration,1.5472673,0.037793905,9.546362
1.482,0,Acceleration,1.5480381,0.03783649,9.545883
1.503,0,Acceleration,1.5480645,0.037818316,9.546396
1.523,0,Acceleration,1.5479983,0.03790481,9.546735
1.543,0,Acceleration,1.5472169,0.037917927,9.547906
1.563,0,Acceleration,1.5472043,0.037674855,9.547617
1.584,0,Acceleration
1.604,0,Acceleration,1.5468669,0.037196077,9.547717
1.624,0,Acceleration,1.5470424,0.03728024,9.548257
1.645,0,Acceleration,1.5470079,0.037283123,9.548282
1.665,0,Acceleration,1.5469114,0.037140146,9.549098
1.685,0,Acceleration,1.5464728,0.03751741,9.549254
1.705,0,Acceleration,1.5460039,0.037439723,9.549341
1.726,0,Acceleration,1.5459092,0.03747036,9.549286
1.746,0,Acceleration,1.5458425,0.037337124,9.549385
1.768,0,Acceleration,1.5453606,0.036874183,9.549117
1.788,0,Acceleration,1.5451106,0.036637343,9.548517
1.808,0,Acceleration,1.5449629,0.03667734,9.547396
1.829,0,Acceleration,1.5447338,0.036454663,9.546946
1.849,0,Acceleration,1.5446259,0.036532003,9.546099
1.869,0,Acceleration,1.5445094,0.036605474,9.545499
1.89,0,Acceleration,1.544243,0.03667529,9.545525
1.91,0,Acceleration,1.5444169,0.036748257,9.544569
1.93,0,Acceleration,1.5435742,0.03652294,9.546248
1.95,0,Acceleration,1.5437676,0.03637667,9.5452
1.971,0,Acceleration,1.5437961,0.036425047,9.545456
1.991,0,Acceleration,1.5438455,0.036577255,9.54564
2.011,0,Acceleration,1.5441815,0.03657854,9.545633
2.032,0,Acceleration,1.5438211,0.03652378,9.546437
2.052,0,Acceleration,1.5433142,0.036607884,9.546839
2.072,0,Acceleration,1.5434886,0.036251925,9.546809
2.092,0,Acceleration,1.5434729,0.036247913,9.547539
2.113,0,Acceleration,1.5438626,0.036180966,9.547367
2.133,0,Acceleration,1.5433627,0.03622173,9.5470495
2.153,0,Acceleration,1.5435551,0.03646065,9.546673
2.174,0,Acceleration,1.5437993,0.0364881,9.546844
2.194,0,Acceleration,1.5440173,0.036657777,9.546261
2.217,0,Acceleration,1.5441068,0.03646855,9.547143
2.237,0,Acceleration,1.5441328,0.036556885,9.545629
2.257,0,Acceleration,1.5441113,0.036361862,9.545299
2.278,0,Acceleration,1.5440303,0.03634389,9.544622
2.298,0,Acceleration,1.5447012,0.036197204,9.54486
2.318,0,Acceleration,1.5442187,0.036238514,9.546559
2.339,0,Acceleration,1.5450895,0.03635345,9.544834
2.359,0,Acceleration,1.5453029,0.036459256,9.545046
2.379,0,Acceleration,1.5449558,0.036424164,9.546035
2.399,0,Acceleration,1.5449632,0.03657957,9.545489
2.42,0,Acceleration,1.5449959,0.03662262,9.545708
2.44,0,Acceleration,1.5453265,0.036803354,9.545717
2.46,0,Acceleration,1.5455759,0.036854014,9.5467415
2.481,0,Acceleration,1.5455089,0.037108187,9.547083
2.501,0,Acceleration,1.5452251,0.036837537,9.547638
2.521,0,Acceleration,1.5446559,0.036753457,9.548433
2.541,0,Acceleration,1.5449126,0.036943696,9.548662
2.562,0,Acceleration,1.5447327,0.037031237,9.549149
2.582,0,Acceleration,1.5453384,0.03692561,9.548475
2.602,0,Acceleration,1.5454109,0.037086952,9.549218
2.622,0,Acceleration,1.5451663,0.037062198,9.54886
2.643,0,Acceleration,1.5449901,0.03668919,9.54974
2.663,0,Acceleration,1.5446769,0.036669143,9.549355
2.683,0,Acceleration,1.5445548,0.036683336,9.549413
2.704,0,Acceleration,1.544599,0.03655586,9.549426
2.724,0,Acceleration,1.5441927,0.03654318,9.5496235
2.744,0,Acceleration,1.5438675,0.036758985,9.549255
2.765,0,Acceleration,1.5442203,0.036599327,9.547484
2.785,0,Acceleration,1.543378,0.036706675,9.549038
2.805,0,Acceleration,1.5434147,0.036696635,9.548354
2.826,0,Acceleration,1.5430945,0.036537666,9.5476465
2.846,0,Acceleration,1.5431266,0.036256116,9.547598
2.866,0,Acceleration,1.5437056,0.036462713,9.545331
2.886,0,Acceleration,1.5435063,0.036409717,9.546188
2.907,0,Acceleration,1.5436782,0.036474947,9.545123
2.927,0,Acceleration,1.5437245,0.03652688,9.544732
2.947,0,Acceleration,1.5441232,0.036654796,9.544438
2.968,0,Acceleration,1.5451075,0.03687105,9.543844
2.988,0,Acceleration,1.5449065,0.037037283,9.544671
3.008,0,Acceleration,1.5453343,0.03718682,9.544965
3.029,0,Acceleration,1.5453467,0.03721968,9.544883
3.049,0,Acceleration,1.5458672,0.03749441,9.544941
3.069,0,Acceleration,1.5457472,0.03771527,9.546066
3.089,0,Acceleration,1.5457654,0.03876666,9.546827
3.11,0,Acceleration,1.545917,0.03939437,9.547993
3.13,0,Acceleration,1.5454068,0.04040487,9.548018
3.15,0,Acceleration,1.5451896,0.04054433,9.548522
3.17,0,Acceleration,1.5447602,0.040484637,9.550213
3.191,0,Acceleration,1.5450528,0.04081453,9.549837
3.211,0,Acceleration,1.5448823,0.041485827,9.550765
3.232,0,Acceleration,1.5449259,0.042226117,9.55084
3.252,0,Acceleration,1.5446714,0.043399394,9.550124
3.272,0,Acceleration,1.5446243,0.044270124,9.550824
3.292,0,Acceleration,1.5444883,0.04515465,9.550267
3.313,0,Acceleration,1.544221,0.04541829,9.55107
3.333,0,Acceleration,1.5440477,0.046281714,9.551168
3.353,0,Acceleration,1.5440303,0.047303654,9.551209
3.374,0,Acceleration,1.5437187,0.048001703,9.552427
3.394,0,Acceleration,1.5441101,0.049692888,9.552617
3.414,0,Acceleration,1.5437434,0.05259097,9.553367
3.434,0,Acceleration,1.5438402,0.056451194,9.55316
3.455,0,Acceleration,1.544075,0.061722755,9.553848
3.475,0,Acceleration,1.5436735,0.06803283,9.554527
3.495,0,Acceleration,1.5434414,0.074761756,9.554666
3.515,0,Acceleration,1.5434281,0.08340054,9.554917
