,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
1,0.006999999999999999,0,Acceleration,-1.091555,0.034471933,9.582051,0.004,0,Acceleration,1.5482327,0.037550863,9.54969,0.004,0,Acceleration,-1.337135,-0.07388362,9.559051,-0.0006202746666666656,0,-0.0003101373333333328,-0.0,0.0,0.0,0.0
2,0.027,0.02,Acceleration,-1.0894616,0.034195773,9.587411,0.024,0.02,Acceleration,1.5470887,0.037504297,9.547822,0.024,0.02,Acceleration,-1.3377372,-0.073409,9.559721000000001,-0.0005696433333333325,0.02,-0.00028482166666666625,-6.2098816666666715e-06,0.0,-6.209881666666672e-08,0.0
3,0.047,0.04,Acceleration,-1.0917728,0.033962,9.579644,0.044,0.04000000000000001,Acceleration,1.547447,0.037755046,9.548950999999999,0.044,0.04000000000000001,Acceleration,-1.3379753,-0.07365614,9.560169,-0.0006463646666666628,0.020000000000000007,-0.0003231823333333314,-6.8338099999999945e-06,0.0,-1.304369166666667e-07,0.0
4,0.068,0.06100000000000001,Acceleration,-1.0905766,0.033366397,9.582759,0.064,0.06,Acceleration,1.5467011,0.037886184,9.5478115,0.065,0.061,Acceleration,-1.3380802,-0.07326958,,-0.0006723330000000018,0.02099999999999999,-0.0003361665000000009,-6.6568530000000054e-06,-6.2098816666666715e-06,-2.7205947649999997e-07,-6.209881666666672e-08
5,0.08800000000000001,0.08100000000000002,Acceleration,-1.0913528,0.033553448,9.580536,0.085,0.081,Acceleration,1.5468282,0.03792934,9.548922,0.085,0.081,Acceleration,-1.3381759,-0.07364398,9.560053,-0.0007203973333333354,0.020000000000000004,-0.0003601986666666677,-7.222744999999995e-06,-1.3043691666666667e-05,-3.9966981333333345e-07,-1.9253573333333344e-07
6,0.108,0.101,Acceleration,-1.0912856,0.034066133,9.579722,0.105,0.101,Acceleration,1.5464734,0.03812624,9.548167,0.105,0.101,Acceleration,-1.3387419,-0.07397929,9.561050999999999,-0.0005956389999999997,0.020000000000000004,-0.00029781949999999985,-5.527261666666655e-06,-1.9700544666666672e-05,-5.215109600000001e-07,-4.645952098333334e-07
7,0.129,0.122,Acceleration,-1.0917664,0.034112927,9.578586999999999,0.125,0.121,Acceleration,1.5467366,0.038147252,9.548043,0.125,0.121,Acceleration,-1.3385162,-0.074432634,9.560875999999999,-0.0007241516666666633,0.01999999999999999,-0.00036207583333333165,-5.126298333333309e-06,-2.6923289666666666e-05,-6.450013933333326e-07,-8.642650231666669e-07
8,0.149,0.142,Acceleration,-1.0921636,0.03535353,9.578597,0.145,0.141,Acceleration,1.5462573,0.03826703,9.548229,0.146,0.142,Acceleration,-1.3378885,-0.07515,9.559389999999999,-0.000509813333333331,0.02099999999999999,-0.0002549066666666655,-3.8372704999999846e-06,-3.245055133333332e-05,-7.755790507499989e-07,-1.385775983166667e-06
9,0.169,0.162,Acceleration,-1.0924602,0.03543732,9.577903,0.166,0.162,Acceleration,1.5462964,0.038102776,9.548487,0.166,0.162,Acceleration,-1.3387465,-0.07444342,9.560908,-0.000301107999999999,0.020000000000000018,-0.0001505539999999995,-1.2410233333333188e-06,-3.757684966666663e-05,-8.023199316666663e-07,-2.0307773764999995e-06
10,0.189,0.182,Acceleration,-1.0921456,0.036469918,9.579288499999999,0.186,0.182,Acceleration,1.5463816,0.03811167,9.547721000000001,0.186,0.182,Acceleration,-1.339615,-0.075244874,9.559942,-0.000221095333333333,0.01999999999999999,-0.0001105476666666665,7.601883333333232e-07,-4.1414120166666616e-05,-8.330907533333319e-07,-2.8063564272499983e-06
