TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
0.003,0,Acceleration,0.9618926,0.077142924,9.623754
0.023,0,Acceleration,0.9611262,0.07705057,9.62395
0.044,0,Acceleration,0.9609838,0.07702066,9.623767
0.064,0,Acceleration,0.9611603,0.07650783,9.624247
0.084,0,Acceleration,0.96084535,0.07638535,9.624478
0.104,0,Acceleration,0.9608701,0.07606072,9.624247
0.125,0,Acceleration,0.9609462,0.07570526,9.624031
0.145,0,Acceleration,0.96164507,0.07532271,9.62294
0.165,0,Acceleration,0.9615283,0.075795814,9.624301
0.185,0,Acceleration,0.9620671,0.07562568,9.623913
0.206,0,Acceleration,0.9619304,0.07560397,9.623862
0.226,0,Acceleration,0.9622819,0.075531386,9.622803
0.246,0,Acceleration,0.9629353,0.07525499,9.623271
0.266,0,Acceleration,0.96332526,0.07466372,9.624335
0.287,0,Acceleration,0.9637897,0.07425646,9.624167
0.307,0,Acceleration,0.96393627,0.073725514,9.624065
0.327,0,Acceleration,0.96457857,0.073745444,9.623613
0.347,0,Acceleration,0.96510994,0.07364591,9.623437
0.368,0,Acceleration,0.965333,0.07364175,9.622707
0.388,0,Acceleration,0.9653484,0.073645204,9.623098
0.408,0,Acceleration,0.9654373,0.07387613,9.622373
0.428,0,Acceleration,0.965709,0.07425139,9.622782
0.449,0,Acceleration,0.9656158,0.074375294,9.622266
0.469,0,Acceleration,0.96531653,0.07441151,9.622053
0.489,0,Acceleration,0.9654205,0.07447273,9.621744
0.509,0,Acceleration,0.9653527,0.07459077,9.621858
0.53,0,Acceleration,0.9647671,0.07491475,9.621826
0.55,0,Acceleration,0.96490765,0.07445562,9.621571
0.57,0,Acceleration,0.96442515,0.07466395,9.62163
0.59,0,Acceleration,0.9637306,0.07474804,9.620289
0.611,0,Acceleration,0.96346337,0.07487207,9.620735
0.631,0,Acceleration,0.96332294,0.07489491,9.620794
0.651,0,Acceleration,0.96341026,0.074471876,9.62062
0.672,0,Acceleration,0.96342176,0.074718535,9.620788
0.692,0,Acceleration,0.9636316,0.07454931,9.62048
0.712,0,Acceleration,0.96352434,0.07451492,9.621073
0.732,0,Acceleration,0.96310556,0.07464917,9.620856
0.753,0,Acceleration,0.9627392,0.07495488,9.621594
0.773,0,Acceleration,0.9628784,0.07506076,9.621473
0.793,0,Acceleration,0.9626004,0.07550192,9.6225815
0.813,0,Acceleration,0.9628253,0.075118855,9.6219
0.834,0,Acceleration,0.9624607,0.074806884,9.622163
0.854,0,Acceleration,0.96216327,0.07478599,9.622387
0.874,0,Acceleration,0.9622244,0.07512997,9.623217
0.895,0,Acceleration,0.96217394,0.075016014,9.623843
0.915,0,Acceleration,0.96220475,0.07477342,9.62306
0.936,0,Acceleration,0.96222425,0.074910715,9.623148
0.956,0,Acceleration,0.9627497,0.07436945,9.622174
0.976,0,Acceleration,0.9625897,0.074304864,9.623185
0.996,0,Acceleration,0.9628422,0.07427523,9.6226
1.017,0,Acceleration,0.962893,0.073809214,9.6222725
1.037,0,Acceleration,0.9631947,0.073521435,9.621645
1.057,0,Acceleration,0.96336466,0.07306334,9.621741
1.078,0,Acceleration,0.9641091,0.07306997,9.621833
1.098,0,Acceleration,0.96436185,0.0728697,9.621906
1.118,0,Acceleration,0.96444106,0.073052816,9.621923
1.138,0,Acceleration,0.9647994,0.072840124,9.621153
1.159,0,Acceleration,0.96470237,0.07260515,9.621472
1.179,0,Acceleration,0.9652174,0.072223306,9.620467
1.199,0,Acceleration,0.96484125,0.07225795,9.621437
1.22,0,Acceleration,0.96544063,0.07226911,9.620335
1.24,0,Acceleration,0.96561706,0.0724624,9.62093
