TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
0.004,0,Acceleration,-1.3878006,-0.09730556,9.543633
0.024,0,Acceleration,-1.3873816,-0.09731347,9.543
0.044,0,Acceleration,-1.3870715,-0.097279,9.543151
0.065,0,Acceleration,-1.3869312,-0.09720082,9.542601
0.085,0,Acceleration,-1.3870957,-0.097123295,9.542606
0.105,0,Acceleration,-1.3870456,-0.09661705,9.542075
0.125,0,Acceleration,-1.3873192,-0.09642052,9.542601
0.145,0,Acceleration,-1.3871529,-0.09632562,9.54205
0.166,0,Acceleration,-1.3862207,-0.09613078,9.542938
0.186,0,Acceleration,-1.3867792,-0.09642735,9.543513
0.207,0,Acceleration,-1.3866686,-0.096778825,9.543419
0.227,0,Acceleration,-1.3862894,-0.09687845,9.543599
0.249,0,Acceleration,-1.386675,-0.09734599,9.54423
0.269,0,Acceleration,-1.3867078,-0.09747916,9.544355
0.289,0,Acceleration,-1.3866845,-0.097361445,9.544926
0.31,0,Acceleration,-1.3871073,-0.097386256,9.545084
0.33,0,Acceleration,-1.387834,-0.09721482,9.545043
0.35,0,Acceleration,-1.3880296,-0.09742414,9.544916
0.37,0,Acceleration,-1.3880925,-0.09701173,9.545036
0.391,0,Acceleration,-1.3882613,-0.09689552,9.545391
0.411,0,Acceleration,-1.3885348,-0.09731181,9.545847
0.431,0,Acceleration,-1.3888427,-0.09716341,9.545745
0.451,0,Acceleration,-1.3892919,-0.09746409,9.545324
0.472,0,Acceleration,-1.3892938,-0.09758421,9.54546
0.492,0,Acceleration,-1.3895141,-0.09784326,9.545127
0.512,0,Acceleration,-1.3903306,-0.09782251,9.5454235
0.532,0,Acceleration,-1.3908763,-0.09809812,9.545309
0.552,0,Acceleration,-1.391306,-0.09819835,9.545722
0.573,0,Acceleration,-1.3916332,-0.09813179,9.544671
0.593,0,Acceleration,-1.3922104,-0.09809624,9.544497
0.613,0,Acceleration,-1.3920268,-0.09798931,9.543867
0.634,0,Acceleration,-1.3922734,-0.09771457,9.543783
0.654,0,Acceleration,-1.3924761,-0.0970642,9.542332
0.674,0,Acceleration,-1.3925357,-0.09701429,9.542192
0.694,0,Acceleration,-1.3927251,-0.09675081,9.5417
0.715,0,Acceleration,-1.3923928,-0.09613161,9.54212
0.735,0,Acceleration,-1.3920531,-0.09632811,9.542441
0.755,0,Acceleration,-1.3915519,-0.09588788,9.541492
0.775,0,Acceleration,-1.3913218,-0.09632449,9.541986
0.796,0,Acceleration,-1.3917177,-0.09577397,9.542382
0.816,0,Acceleration,-1.3914012,-0.09592411,9.5428505
0.836,0,Acceleration,-1.3909435,-0.09634339,9.543784
0.857,0,Acceleration,-1.3909143,-0.095893085,9.5439005
0.877,0,Acceleration,-1.390589,-0.0958254,9.54394
0.897,0,Acceleration,-1.3902172,-0.095994964,9.544903
0.917,0,Acceleration,-1.3897675,-0.095956236,9.544845
0.938,0,Acceleration,-1.3895503,-0.09668213,9.545433
0.958,0,Acceleration,-1.3888195,-0.096659735,9.545859
0.979,0,Acceleration,-1.3885114,-0.096975796,9.5465
0.999,0,Acceleration,-1.3881023,-0.09723645,9.546125
1.019,0,Acceleration,-1.3881913,-0.09756312,9.546661
1.039,0,Acceleration,-1.3878288,-0.09775379,9.546509
1.06,0,Acceleration,-1.3880678,-0.0977233,9.54664
