,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
1,0.004,0,Acceleration,-1.3901722,,,0.003,0,Acceleration,1.4682631,0.039844494,9.551938,0.004,0,Acceleration,-1.3878006,-0.09730556,9.543633,-0.028730533,0,-0.0143652665,-0.0,0.0,0.0,0.0
2,0.024,0.02,Acceleration,-1.3897727,0.02607128,9.513376,0.023,0.02,Acceleration,1.7378275,0.02806195,9.527528,0.024,0.02,Acceleration,-1.3873816,-0.09731347,9.543,-0.01439341333333333,0.02,-0.007196706666666665,-0.00014365500999999995,0.0,-1.4365500999999996e-06,0.0
3,0.044,0.04000000000000001,Acceleration,-1.3893769,0.025919283,9.510156,0.044,0.041,Acceleration,1.738099,0.028065642,9.525903,0.044,0.04000000000000001,Acceleration,-1.3870715,-0.09727899999999999,9.543151,-0.01443135833333333,0.020000000000000007,-0.007215679166666665,-0.00014419776000000004,0.0,-2.8785277000000006e-06,0.0
4,0.065,0.061,Acceleration,-1.3898462,0.026116842,9.510273,0.064,0.061,Acceleration,1.7385952,0.028071212,9.52635,0.065,0.061,Acceleration,-1.3869312,-0.09720082,9.542601,-0.01433758866666666,0.02099999999999999,-0.00716879433333333,-0.0001499136169999999,-0.00014365500999999995,-6.104924668499996e-06,-1.4365500999999996e-06
5,0.085,0.081,Acceleration,-1.390141,0.026188334,9.509892,0.084,0.081,Acceleration,1.7382902,0.02771038,9.525893,0.085,0.081,Acceleration,-1.3870957,-0.097123295,9.542606,-0.01440819366666667,0.020000000000000004,-0.007204096833333335,-0.00014327691500000002,-0.00028785276999999997,-8.68896072e-06,-4.3150778e-06
6,0.105,0.101,Acceleration,-1.3903743,0.026180945,9.509291000000001,0.104,0.101,Acceleration,1.7386417,0.027783947,9.524935000000001,0.105,0.101,Acceleration,-1.3870456,-0.09661705,9.542075,-0.014217386,0.020000000000000004,-0.007108693,-0.00014221259500000002,-0.0004377663869999999,-1.1610222840000002e-05,-1.0420002468499995e-05
7,0.126,0.122,Acceleration,-1.3905736,0.026110867,9.508635,0.125,0.122,Acceleration,1.738625,0.027568085,9.5228,0.125,0.121,Acceleration,-1.3873192,-0.09642052,9.542601,-0.01424718933333333,0.01999999999999999,-0.007123594666666665,-0.00014096197999999993,-0.0005810433019999999,-1.4452611789999992e-05,-1.9108963188499994e-05
8,0.146,0.142,Acceleration,-1.3909874,0.026509322,9.507214,0.145,0.142,Acceleration,1.7387768,0.027140899,9.525537,0.145,0.141,Acceleration,-1.3871529,-0.09632562,9.54205,-0.014225133,0.01999999999999999,-0.0071125665,-0.00014123125499999992,-0.000723255897,-1.728705028999999e-05,-3.071918602849999e-05
9,0.166,0.162,Acceleration,-1.3912615,0.027310703,9.5086565,0.165,0.162,Acceleration,1.7390553,0.026984457,9.522619,0.166,0.162,Acceleration,-1.3862207,-0.09613078,9.542938000000001,-0.01394520666666667,0.02100000000000002,-0.006972603333333335,-0.00014643049050000015,-0.000864217877,-2.116902374475002e-05,-4.5171797818499984e-05
10,0.186,0.182,Acceleration,-1.3915362,0.027566524,9.51044,0.185,0.182,Acceleration,1.7385403,0.026797472,9.524385,0.186,0.182,Acceleration,-1.3867792,-0.09642735,9.543513,-0.014021118,0.01999999999999999,-0.007010559,-0.0001388729116666666,-0.001005449132,-2.2962016661666653e-05,-6.245884810849998e-05
11,0.207,0.203,Acceleration,-1.391978,0.028215969,9.511917,0.205,0.202,Acceleration,1.7385001,0.02672391,9.523666,0.207,0.203,Acceleration,-1.3866686,-0.096778825,9.543419,-0.01394631533333333,0.02100000000000002,-0.006973157666666665,-0.0001457548662500001,-0.0011518796225,-2.7178063740625028e-05,-8.362787185325e-05
12,0.227,0.223,Acceleration,-1.3923154,0.029007317,9.513731,0.226,0.223,Acceleration,1.7387664,0.02661074,9.523781,0.227,0.223,Acceleration,-1.3862894,-0.09687845,9.543599,-0.01375346433333333,0.01999999999999999,-0.006876732166666665,-0.00013742295666666657,-0.0012907525341666667,-2.8646828912499986e-05,-0.00010658988851491665
13,0.247,0.243,Acceleration,-1.392789,0.029415589,9.515216,0.247,0.244,Acceleration,1.7386674,0.026480852,9.523189,0.249,0.245,Acceleration,-1.386675,-0.09734599,9.54423,-0.01381651633333333,0.021999999999999992,-0.006908258166666665,-0.00015150294316666657,-0.0014365074004166667,-3.4781347707333315e-05,-0.00013376795225554167
14,0.267,0.263,Acceleration,-1.3927566,0.029786726,9.518373,0.267,0.264,Acceleration,1.738397,0.026499053,9.524633,0.269,0.265,Acceleration,-1.3867078,-0.09747916,9.544355,-0.013731127,0.020000000000000018,-0.0068655635,-0.0001376918033333334,-0.0015739303570833332,-3.4370554606666694e-05,-0.00016241478116804165
15,0.288,0.284,Acceleration,-1.3931055,0.029826688,9.519696000000001,0.287,0.284,Acceleration,1.7381059,0.026346337,9.524246,0.289,0.285,Acceleration,-1.3866845,-0.097361445,9.544926,-0.01372947333333333,0.019999999999999962,-0.006864736666666665,-0.0001379101899999997,-0.0017254333002499997,-3.7264685938333255e-05,-0.00019719612887537496
16,0.308,0.304,Acceleration,-1.3932543,0.02987847,9.520746,0.307,0.304,Acceleration,1.7382305,0.026086085,9.524458000000001,0.31,0.306,Acceleration,-1.3871073,-0.09738625599999999,9.545084,-0.01380723366666666,0.02100000000000002,-0.00690361683333333,-0.00014659239525000012,-0.001863125103583333,-4.211290432037503e-05,-0.00023156668348204166
17,0.328,0.324,Acceleration,-1.3935038,0.029143952,9.519213,0.328,0.325,Acceleration,1.7375522,0.026513174,9.522963,0.33,0.326,Acceleration,-1.387834,-0.09721482,9.545043,-0.01385256466666666,0.020000000000000018,-0.00692628233333333,-0.00013914538833333342,-0.002001035293583333,-4.2878083707500036e-05,-0.0002688313694203749
18,0.348,0.344,Acceleration,-1.3929985,0.028735574,9.519318,0.348,0.345,Acceleration,1.7379798,0.026343184,9.523347,0.35,0.346,Acceleration,-1.3880296,-0.09742414,9.544916,-0.01411512733333334,0.019999999999999962,-0.00705756366666667,-0.00013941758999999973,-0.0021476276888333333,-4.573818355999991e-05,-0.00031094427374074997
19,0.368,0.364,Acceleration,-1.3932478,0.028978344,9.519507,0.368,0.365,Acceleration,1.7368952,0.026103847,9.522552000000001,0.37,0.366,Acceleration,-1.3880925,-0.09701173,9.545036,-0.013976513,0.020000000000000018,-0.0069882565,-0.00013956011333333347,-0.002286773077166667,-4.852523857666671e-05,-0.00035382235744825
20,0.389,0.385,Acceleration,-1.3929609,0.029462421,9.5194845,0.388,0.385,Acceleration,1.7374259,0.026127927,9.523369,0.391,0.387,Acceleration,-1.3882613,-0.09689552,9.545391,-0.01376839066666666,0.02100000000000002,-0.00688419533333333,-0.0001443440267500001,-0.0024261906671666665,-5.3930997481375046e-05,-0.0003995605410082499
21,0.409,0.405,Acceleration,-1.3931786,0.029266914,9.518410000000001,0.408,0.405,Acceleration,1.7369142,0.026238367,9.522616000000001,0.411,0.407,Acceleration,-1.3885348,-0.09731181,9.545847,-0.01393550966666667,0.019999999999999962,-0.006967754833333335,-0.0001388864749999998,-0.0025657507805,-5.4147320627499894e-05,-0.0004480857795849166
22,0.429,0.425,Acceleration,-1.3930731,0.029702296,9.519145,0.429,0.426,Acceleration,1.7368367,0.026283985,9.520131,0.431,0.427,Acceleration,-1.3888427,-0.09716341,9.545745,-0.01372570966666667,0.020000000000000018,-0.006862854833333335,-0.0001381984183333335,-0.00271009480725,-5.6972745078333384e-05,-0.0005020167770662916
23,0.449,0.445,Acceleration,-1.3930185,0.029652173,9.518506,0.449,0.446,Acceleration,1.7367396,0.026286561,9.519699000000001,0.451,0.447,Acceleration,-1.3892919,-0.09746409,9.545324,-0.01384178533333334,0.020000000000000018,-0.00692089266666667,-0.0001392004600000002,-0.00284898128225,-5.975361442833339e-05,-0.0005561640976937915
24,0.47,0.466,Acceleration,-1.392869,0.029769344,9.519828,0.469,0.466,Acceleration,1.7373964,0.026072944,9.51999,0.472,0.468,Acceleration,-1.3892938,-0.09758421,9.54546,-0.013913974,0.02100000000000002,-0.006956987,-0.00014741100675000012,-0.0029871797005833335,-6.574019411312506e-05,-0.0006131368427721249
25,0.49,0.486,Acceleration,-1.3928643,0.029579591,9.520306,0.489,0.486,Acceleration,1.7368909,0.026268749,9.518728,0.492,0.488,Acceleration,-1.3895141,-0.09784326,9.545127,-0.01399830666666667,0.019999999999999962,-0.006999153333333335,-0.0001421231716666664,-0.0031263801605833337,-6.542294499583321e-05,-0.0006728904572004583
26,0.51,0.506,Acceleration,-1.392801,0.029358907,9.5212,0.51,0.507,Acceleration,1.7373276,0.025970664,9.518635,0.512,0.508,Acceleration,-1.3903306,-0.09782251,9.5454235,-0.014164313,0.020000000000000018,-0.0070821565,-0.00014404430166666682,-0.0032737911673333337,-6.833749808000006e-05,-0.0007386306513135834
27,0.53,0.526,Acceleration,-1.3928776,0.028815651,9.520208,0.53,0.527,Acceleration,1.736618,0.026003486,9.515410000000001,0.532,0.528,Acceleration,-1.3908763,-0.09809812,9.545309,-0.01442632766666666,0.020000000000000018,-0.00721316383333333,-0.00014581759833333342,-0.003415914339,-7.121690578000007e-05,-0.0008040535963094166
