TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
0.004,0,Acceleration
0.024,0,Acceleration,1.1335444,0.08475469,9.593996
0.045,0,Acceleration,1.1338382,0.08438254,9.593846
0.065,0,Acceleration,1.1338212,0.08409016,9.59324
0.085,0,Acceleration,1.1343865,0.08351104,9.592676
0.105,0,Acceleration,1.1348174,0.08317811,9.592554
0.126,0,Acceleration,1.1354645,0.08245086,9.5912
0.146,0,Acceleration,1.1356931,0.082696944,9.591864
0.166,0,Acceleration,1.1367903,0.082489654,9.591104
0.186,0,Acceleration,1.1380825,0.08200774,9.590726
0.207,0,Acceleration,1.1392125,0.08165408,9.591068
0.227,0,Acceleration,1.1401533,0.08134637,9.591104
0.247,0,Acceleration,1.14085,0.08106545,9.590574
0.267,0,Acceleration,1.1414825,0.08077079,9.590868
0.288,0,Acceleration,1.1425279,0.08027234,9.590616
0.308,0,Acceleration,1.1435419,0.07999483,9.590819
0.328,0,Acceleration,1.1442254,0.07965716,9.591165
0.348,0,Acceleration,1.1450858,0.07960529,9.591016
0.369,0,Acceleration,1.1456553,0.07942109,9.591485
0.389,0,Acceleration,1.1462487,0.079156876,9.591328
0.409,0,Acceleration,1.1470273,0.079080805,9.591718
0.429,0,Acceleration,1.1474422,0.0790987,9.593115
0.449,0,Acceleration,1.1478637,0.07926059,9.59342
0.47,0,Acceleration,1.1479712,0.07916136,9.594067
0.49,0,Acceleration,1.1480515,0.079021014,9.594653
0.51,0,Acceleration,1.1481999,0.07877169,9.594751
0.53,0,Acceleration,1.1478634,0.0792143,9.595227
0.551,0,Acceleration,1.1481082,0.07969576,9.595284
0.571,0,Acceleration,1.1479981,0.079933494,9.595158
0.591,0,Acceleration,1.1481283,0.079841144,9.595434
0.611,0,Acceleration,1.1468465,0.08081495,9.595589
0.632,0,Acceleration,1.1465085,0.08100346,9.595205
0.652,0,Acceleration,1.1460576,0.08091404,9.59507
0.672,0,Acceleration,1.1460654,0.08133408,9.59478
0.692,0,Acceleration,1.1458662,0.08154665,9.594571
0.713,0,Acceleration,1.1451031,0.082134746,9.594601
0.733,0,Acceleration,1.1443942,0.08233161,9.594709
0.753,0,Acceleration,1.1442432,0.08210803,9.594755
0.774,0,Acceleration,1.1443056,0.08184798,9.595231
0.794,0,Acceleration,1.14409,0.08176068,9.595229
0.814,0,Acceleration,1.1437635,0.08140675,9.594799
0.835,0,Acceleration,1.1435794,0.08099271,9.594754
0.855,0,Acceleration,1.1432626,0.080721885,9.594619
0.875,0,Acceleration,1.1429616,0.08068079,9.594268
0.895,0,Acceleration,1.1424631,0.08053351,9.595033
0.916,0,Acceleration,1.142149,0.08028255,9.593913
0.936,0,Acceleration,1.1421292,0.07981618,9.593741
0.956,0,Acceleration,1.1418386,0.0799216,9.593311
0.976,0,Acceleration,1.1415224,0.079713725,9.592685
0.997,0,Acceleration,1.1411511,0.08028971,9.593612
1.017,0,Acceleration,1.1412879,0.0794637,9.591243
1.037,0,Acceleration,1.1409819,0.07895564,9.590804
1.058,0,Acceleration,1.1411672,0.078541026,9.590054
1.078,0,Acceleration,1.1407679,0.07816402,9.5894575
1.098,0,Acceleration,1.1402212,0.07862014,9.590271
1.118,0,Acceleration,1.1404709,0.0777017,9.589015
1.139,0,Acceleration,1.1404642,0.07795237,9.588624
1.159,0,Acceleration,1.140261,0.07824104,9.589249
1.179,0,Acceleration,1.1399636,0.07840754,9.589383
1.199,0,Acceleration,1.1401653,0.07817746,9.589435
1.22,0,Acceleration,1.1395618,0.07890624,9.590666
1.24,0,Acceleration,1.139709,0.07853491,9.59052
1.26,0,Acceleration,1.1398057,0.07880911,9.591486
1.28,0,Acceleration,1.1397213,0.07878697,9.591967
1.301,0,Acceleration,1.1397029,0.07895714,9.59273
1.321,0,Acceleration,1.1398753,0.0790532,9.592573
1.341,0,Acceleration,1.139783,0.07922305,9.593372
1.362,0,Acceleration,1.1391735,0.07985532,9.594867
1.382,0,Acceleration,1.1394866,0.08056819,9.596273
1.402,0,Acceleration,1.1398172,0.08092867,9.596444
1.422,0,Acceleration,1.1399232,0.08145229,9.596646
1.445,0,Acceleration,1.1397947,0.081975296,9.597867
1.465,0,Acceleration,1.1401749,0.081982575,9.59788
1.485,0,Acceleration,1.140131,0.082197525,9.598035
1.505,0,Acceleration,1.14015,0.082079224,9.597996
1.526,0,Acceleration,1.1405296,0.08201223,9.597401
1.546,0,Acceleration,1.1404343,0.08233333,9.597335
1.566,0,Acceleration,1.141211,0.08221478,9.597389
1.586,0,Acceleration,1.1420087,0.08220801,9.596868
1.607,0,Acceleration,1.1420186,0.08172686,9.596583
1.627,0,Acceleration,1.1423864,0.08142136,9.596601
1.647,0,Acceleration,1.1424708,0.081220105,9.596009
1.668,0,Acceleration,1.1428583,0.08123276,9.595968
1.688,0,Acceleration,1.1431409,0.08113752,9.596013
1.708,0,Acceleration,1.1439037,0.08065113,9.595194
1.728,0,Acceleration,1.1442428,0.08085415,9.594754
1.749,0,Acceleration,1.1446636,0.08033602,9.594262
1.77,0,Acceleration,1.1455686,0.07980373,9.593402
1.79,0,Acceleration,1.1456804,0.07945833,9.593001
1.81,0,Acceleration,1.1460721,0.07945091,9.592623
1.83,0,Acceleration,1.1465355,0.07902192,9.591879
1.851,0,Acceleration,1.1468108,0.078893766,9.591086
1.871,0,Acceleration,1.1470866,0.078775056,9.591512
1.891,0,Acceleration,1.1472344,0.07899072,9.59128
1.912,0,Acceleration,1.147374,0.07859603,9.589634
1.932,0,Acceleration,1.1472455,0.079494976,9.591181
1.952,0,Acceleration,1.1472455,0.079494976,9.591181
1.973,0,Acceleration,1.1476507,0.07987487,9.591587
1.993,0,Acceleration,1.1475366,0.07980993,9.591619
2.013,0,Acceleration,1.1475585,0.080168,9.59217
2.033,0,Acceleration,1.147077,0.080516316,9.593008
2.054,0,Acceleration,1.1464027,0.08046772,9.593364
2.074,0,Acceleration,1.1458149,0.08056834,9.593261
2.094,0,Acceleration,1.1461,0.08003401,9.593475
2.114,0,Acceleration,1.1458939,0.08025112,9.593475
2.135,0,Acceleration,1.1454265,0.08037683,9.593844
2.155,0,Acceleration,1.1445072,0.08080618,9.594896
2.176,0,Acceleration,1.1438539,0.081019,9.594876
2.196,0,Acceleration,1.1430113,0.081141435,9.59489
2.216,0,Acceleration,1.1426046,0.0813175,9.593881
2.236,0,Acceleration,1.1415532,0.08169329,9.5949545
2.257,0,Acceleration,1.1412606,0.081150696,9.594917
2.277,0,Acceleration,1.1405025,0.08128746,9.594877
2.297,0,Acceleration,1.1402293,0.08154485,9.594918
2.318,0,Acceleration,1.1403188,0.08112521,9.594506
2.338,0,Acceleration,1.1399683,0.081348,9.594955
2.358,0,Acceleration,1.1393465,0.08100359,9.594522
2.378,0,Acceleration,1.1392345,0.08073664,9.5943
2.399,0,Acceleration,1.1393352,0.08083227,9.59464
2.419,0,Acceleration,1.1396203,0.08044649,9.594096
2.44,0,Acceleration,1.1390116,0.08078667,9.594327
2.46,0,Acceleration,1.139051,0.08026974,9.594076
