,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
1,0.005,0,Acceleration,-1.3901316,-0.013559365,9.544039,0.004,0,Acceleration,-1.845803,0.022786357,9.479782,0.004,0,Acceleration,,,,0.004613496,0,0.002306748,0.0,0.0,0.0,0.0
2,0.026,0.021,Acceleration,-1.390205,-0.0135087045,9.544260000000001,0.024,0.02,Acceleration,-1.8458145,0.022988055,9.478802,0.024,0.02,Acceleration,1.1335444,0.08475469,9.593996,0.03141134683333333,0.021,0.015705673416666666,0.00032792813287499997,0.0,3.4432453951875e-06,0.0
3,0.046,0.041,Acceleration,-1.3901218,-0.013531138,9.544681,0.045,0.04099999999999999,Acceleration,-1.8453442,0.023121938,9.48018,0.045,0.04099999999999999,Acceleration,1.1338382,0.08438254,9.593846000000001,0.03132444666666667,0.02,0.015662223333333336,0.00031147965833333335,0.0,6.394077912083333e-06,0.0
4,0.066,0.06100000000000001,Acceleration,-1.390252,-0.013846894,9.544038,0.065,0.061,Acceleration,-1.845762,0.022910198,9.479567999999999,0.065,0.061,Acceleration,1.1338212,0.08409016,9.59324,0.03105115466666666,0.02000000000000001,0.01552557733333333,0.0003094400050000001,0.00032792813287499997,1.276775929083334e-05,3.4432453951875e-06
5,0.086,0.08099999999999999,Acceleration,-1.3904898,-0.013484653,9.545092,0.085,0.081,Acceleration,-1.8449818,0.022888068,9.478489,0.085,0.081,Acceleration,1.1343865,0.08351104,9.592675999999999,0.030971485,0.019999999999999976,0.0154857425,0.00030732239999999966,0.0006394077912083333,1.895577987416664e-05,9.837323307270832e-06
6,0.106,0.101,Acceleration,-1.3903755,-0.013451815,9.544377,0.105,0.101,Acceleration,-1.8449645,0.022784244,9.477331,0.105,0.101,Acceleration,1.1348174,0.08317811,9.592554,0.03083684633333333,0.020000000000000018,0.015418423166666665,0.00030695073833333366,0.0009488477962083334,2.511968730750002e-05,2.260508259810417e-05
7,0.127,0.122,Acceleration,-1.3906298,-0.013623221,9.544734,0.127,0.123,Acceleration,-1.8448522,0.022651346,9.476709,0.126,0.122,Acceleration,1.1354645,0.08245086,9.5912,0.030492995,0.02099999999999999,0.0152464975,0.0003183025054999999,0.001256170196208333,3.294473318062498e-05,4.156086247227081e-05
8,0.147,0.142,Acceleration,-1.3902613,-0.013553337,9.544069,0.147,0.143,Acceleration,-1.8455914,0.022516297,9.4754305,0.146,0.142,Acceleration,1.1356931,0.08269694400000001,9.591864,0.03055330133333334,0.01999999999999999,0.01527665066666667,0.0003016673083333332,0.0015631209345416666,3.746211682916664e-05,6.668054977977083e-05
9,0.168,0.163,Acceleration,-1.3899657,-0.014377303,9.544410000000001,0.167,0.163,Acceleration,-1.8450465,0.02229581,9.474293,0.166,0.162,Acceleration,1.1367903,0.08248965400000001,9.591104,0.03013605366666667,0.02100000000000002,0.015068026833333335,0.0003137610997500003,0.0018814234400416664,4.597189052575004e-05,9.96252829603958e-05
10,0.188,0.183,Acceleration,-1.3896296,-0.014780521,9.544333,0.189,0.185,Acceleration,-1.8447872,0.022113262,9.472743,0.186,0.182,Acceleration,1.1380825,0.08200774,9.590726,0.02978016033333333,0.01999999999999999,0.014890080166666665,0.0002973587041666665,0.0021830907483749995,4.977301300666663e-05,0.00013708739978956244
