TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
0.004,0,Acceleration,1.4830085,0.05934037,9.569523
0.024,0,Acceleration,1.4826874,0.05910864,9.569606
0.044,0,Acceleration,1.4819521,0.058919564,9.569032
0.064,0,Acceleration,1.4803536,0.058140866,9.567794
0.085,0,Acceleration,1.4799227,0.0581161,9.567926
0.105,0,Acceleration,1.479884,0.058091678,9.56772
0.125,0,Acceleration,1.4784847,0.057518747,9.567113
0.145,0,Acceleration,1.4776154,0.057101693,9.565822
0.166,0,Acceleration,1.476779,0.05692755,9.566036
0.186,0,Acceleration,1.4763533,0.05664687,9.563558
0.206,0,Acceleration,1.4760102,0.056581724,9.563126
0.227,0,Acceleration,1.4760637,0.056949385,9.56199
0.247,0,Acceleration,1.4765913,0.0568094,9.561332
0.267,0,Acceleration,1.4766111,0.057150204,9.561061
0.288,0,Acceleration,1.4773009,0.057446767,9.560071
0.309,0,Acceleration,1.4786876,0.057542317,9.559467
0.329,0,Acceleration,1.4799644,0.05802392,9.559871
0.349,0,Acceleration,1.4808732,0.058380537,9.559981
0.369,0,Acceleration,1.4819548,0.058381665,9.560927
0.39,0,Acceleration,1.4821184,0.058714256,9.561258
0.41,0,Acceleration,1.4839759,0.058643594,9.561724
0.43,0,Acceleration,1.4848297,0.058972865,9.563343
0.45,0,Acceleration,1.4852594,0.058836635,9.564758
0.471,0,Acceleration,1.4859073,0.059035167,9.566636
0.491,0,Acceleration,1.4858547,0.05877845,9.566656
0.511,0,Acceleration,1.487047,0.058654193,9.569822
0.531,0,Acceleration,1.4872216,0.058576066,9.572676
0.552,0,Acceleration,1.4870948,0.05885795,9.575598
0.572,0,Acceleration,1.4865253,0.058905896,9.576516
0.592,0,Acceleration,1.4866573,0.0590126,9.576823
0.613,0,Acceleration,1.4879181,0.058853835,9.580952
0.633,0,Acceleration,1.4870956,0.058338393,9.5819
0.653,0,Acceleration,1.48615,0.058103498,9.582458
0.673,0,Acceleration,1.4855075,0.057954956,9.582411
0.694,0,Acceleration,1.4843221,0.05814561,9.57803
0.714,0,Acceleration,1.4835413,0.057704736,9.582097
0.734,0,Acceleration,1.4829283,0.057647765,9.5798435
0.754,0,Acceleration,1.4824721,0.058042772,9.577631
0.775,0,Acceleration,1.4814862,0.058477215,9.575381
0.795,0,Acceleration,1.4811217,0.058285836,9.573282
0.815,0,Acceleration,1.4803361,0.058611955,9.571053
0.835,0,Acceleration,1.4801301,0.059015423,9.568687
0.856,0,Acceleration,1.4799716,0.059203092,9.565522
0.876,0,Acceleration,1.4799066,0.05903715,9.563757
0.898,0,Acceleration,1.4798962,0.059144232,9.56033
0.918,0,Acceleration,1.4800814,0.058782976,9.557362
0.938,0,Acceleration,1.480053,0.05888729,9.556167
0.958,0,Acceleration,1.480769,0.058687937,9.552208
0.979,0,Acceleration,1.4804798,0.059182502,9.55184
0.999,0,Acceleration,1.4810835,0.05927861,9.55048
1.019,0,Acceleration,1.4814194,0.059074175,9.550356
1.039,0,Acceleration,1.4816469,0.058747776,9.549758
1.06,0,Acceleration,1.4821335,0.058486413,9.550869
1.08,0,Acceleration,1.4824467,0.05810211,9.551893
1.1,0,Acceleration,1.4825753,0.057747196,9.553289
1.12,0,Acceleration,1.482386,0.05735947,9.555047
1.141,0,Acceleration,1.4821647,0.057250302,9.556944
1.161,0,Acceleration,1.4821645,0.057138365,9.558764
1.181,0,Acceleration,1.4821438,0.057095516,9.559807
1.202,0,Acceleration,1.4821157,0.05708572,9.562493
1.222,0,Acceleration,1.4823351,0.05702714,9.56438
1.242,0,Acceleration,1.4823323,0.05708275,9.565759
1.262,0,Acceleration,1.4822828,0.056731015,9.568658
1.283,0,Acceleration,1.4819392,0.0566254,9.567499
1.303,0,Acceleration,1.4818286,0.05637043,9.568378
1.323,0,Acceleration,1.4817678,0.05618401,9.569701
1.344,0,Acceleration,1.482289,0.056118667,9.569359
1.364,0,Acceleration,1.4825091,0.056383833,9.569856
1.384,0,Acceleration,1.4836388,0.056571227,9.5692835
1.405,0,Acceleration,1.4843113,0.057218157,9.568447
1.425,0,Acceleration,1.4843506,0.057068545,9.568887
1.445,0,Acceleration,1.4853457,0.057801116,9.568584
1.465,0,Acceleration,1.4860346,0.05807286,9.56848
1.486,0,Acceleration,1.4869283,0.058869395,9.568096
1.506,0,Acceleration,1.4870222,0.05890928,9.567694
1.526,0,Acceleration,1.4874232,0.059223585,9.567912
1.547,0,Acceleration,1.487271,0.05921541,9.568843
1.567,0,Acceleration,1.4868239,0.059417054,9.568792
1.587,0,Acceleration,1.4865981,0.059731923,9.569268
1.607,0,Acceleration,1.4862316,0.05997912,9.569491
1.628,0,Acceleration,1.4859504,0.05963258,9.5697365
1.648,0,Acceleration,1.4853842,0.059449114,9.569729
1.668,0,Acceleration,1.4842429,0.059487574,9.569199
1.689,0,Acceleration,1.4835807,0.05945321,9.5689125
1.709,0,Acceleration,1.4821616,0.05906537,9.568025
1.729,0,Acceleration,1.4811568,0.058753278,9.5668955
1.749,0,Acceleration,1.480009,0.058727782,9.565701
1.77,0,Acceleration,1.4793564,0.05906106,9.564024
1.79,0,Acceleration,1.4784416,0.059025213,9.562876
1.81,0,Acceleration,1.4778227,0.058952365,9.561948
1.83,0,Acceleration,1.4765751,0.058763836,9.5600195
1.851,0,Acceleration,1.4765387,0.058637075,9.558362
1.871,0,Acceleration,1.4763284,0.05886635,9.556223
1.891,0,Acceleration,1.4758843,0.058995124,9.553311
1.911,0,Acceleration,1.4767472,0.059318095,9.553699
1.932,0,Acceleration,1.4767692,0.05952549,9.551114
1.952,0,Acceleration,1.4773583,0.05954232,9.550206
1.972,0,Acceleration,1.4787166,0.05971619,9.549313
1.993,0,Acceleration,1.4798397,0.059845433,9.550008
2.013,0,Acceleration,1.4811792,0.059921764,9.553674
2.033,0,Acceleration,1.4823319,0.060088888,9.551482
2.053,0,Acceleration,1.4829762,0.060147088,9.552146
2.074,0,Acceleration,1.4839073,0.05980585,9.554174
2.094,0,Acceleration,1.4848791,0.059562102,9.556831
2.114,0,Acceleration,1.484993,0.059258297,9.560142
2.134,0,Acceleration,1.4868555,0.059223637,9.56053
2.155,0,Acceleration,1.4876015,0.058723483,9.56332
2.175,0,Acceleration,1.4874127,0.05852185,9.565577
2.195,0,Acceleration,1.4877037,0.058214102,9.569215
2.216,0,Acceleration,1.488048,0.058347005,9.573812
2.236,0,Acceleration,1.4878664,0.05835055,9.576207
2.256,0,Acceleration,1.4871088,0.058383062,9.577967
2.276,0,Acceleration,1.4866759,0.057984464,9.580617
2.297,0,Acceleration,1.4860761,0.057691377,9.581248
2.317,0,Acceleration,1.4855216,0.057284635,9.58103
2.337,0,Acceleration,1.4846914,0.057016023,9.580805
2.357,0,Acceleration,1.4840947,0.057259146,9.580072
2.378,0,Acceleration,1.4834884,0.05731906,9.579425
2.398,0,Acceleration,1.4830375,0.05699538,9.57885
2.418,0,Acceleration,1.4825227,0.057140917,9.577097
2.439,0,Acceleration,1.4816216,0.057598647,9.575112
2.459,0,Acceleration,1.4808985,0.058003552,9.57335
2.479,0,Acceleration,1.4803569,0.058204673,9.571316
2.5,0,Acceleration,1.4802417,0.05833663,9.568413
2.52,0,Acceleration,1.4798825,0.058886446,9.565926
2.54,0,Acceleration,1.4799625,0.059176467,9.5630455
2.56,0,Acceleration,1.4804155,0.059479464,9.560233
2.581,0,Acceleration,1.4807644,0.059212632,9.558262
2.601,0,Acceleration,1.4805291,0.059276696,9.556273
2.621,0,Acceleration,1.4804667,0.059417445,9.554809
2.641,0,Acceleration,1.4806057,0.059330635,9.553387
2.662,0,Acceleration,1.4806592,0.05928306,9.553201
2.682,0,Acceleration,1.4805129,0.05927871,9.553784
2.702,0,Acceleration,1.4809327,0.059141014,9.5538435
2.722,0,Acceleration,1.4808228,0.059215624,9.554198
2.743,0,Acceleration,1.4803141,0.059033107,9.555457
2.763,0,Acceleration,1.4801149,0.05851502,9.556657
2.783,0,Acceleration,1.4800619,0.05834905,9.557897
2.804,0,Acceleration,1.4797722,0.058085866,9.559353
2.824,0,Acceleration,1.4794973,0.057979763,9.560674
2.844,0,Acceleration,1.4791845,0.05772636,9.561219
2.864,0,Acceleration,1.4788486,0.058091372,9.56216
2.885,0,Acceleration,1.4786309,0.05810432,9.562923
2.905,0,Acceleration,1.4787618,0.057808165,9.563185
2.925,0,Acceleration,1.4793746,0.057703637,9.562668
2.946,0,Acceleration,1.479652,0.057503004,9.563578
2.966,0,Acceleration,1.4802898,0.057312287,9.56254
2.986,0,Acceleration,1.4794481,0.05695846,9.562655
3.006,0,Acceleration,1.4815483,0.057638768,9.561995
3.027,0,Acceleration,1.4820689,0.057913784,9.56234
3.047,0,Acceleration,1.4833348,0.05815634,9.561852
3.067,0,Acceleration,1.4841121,0.058331322,9.562475
3.087,0,Acceleration,1.4839011,0.058137596,9.561671
3.108,0,Acceleration,1.486252,0.05860447,9.562319
3.128,0,Acceleration,1.4866605,0.058722273,9.563354
3.148,0,Acceleration,1.4870582,0.058948886,9.564694
3.169,0,Acceleration,1.4875578,0.059292313,9.565738
3.189,0,Acceleration,1.4882559,0.059303273,9.564213
3.209,0,Acceleration,1.487641,0.059918795,9.568189
3.229,0,Acceleration,1.4876174,0.059746373,9.570137
3.25,0,Acceleration,1.4873579,0.059554882,9.570628
3.27,0,Acceleration,1.4869865,0.05957762,9.571879
3.29,0,Acceleration,1.4864851,0.059408624,9.5730505
3.31,0,Acceleration,1.4860101,0.059034284,9.5725155
3.331,0,Acceleration,1.4846959,0.059161406,9.573552
3.351,0,Acceleration,1.4838316,0.05877842,9.571338
3.371,0,Acceleration,1.4825153,0.058985498,9.571286
3.391,0,Acceleration,1.4816073,0.0586936,9.570299
3.412,0,Acceleration,1.4805129,0.059042104,9.569532
3.432,0,Acceleration,1.4800657,0.058968306,9.567509
3.452,0,Acceleration,1.47944,0.059031468,9.565397
3.473,0,Acceleration,1.4773924,0.059013937,9.563304
3.493,0,Acceleration,1.4768716,0.059049867,9.56089
3.513,0,Acceleration,1.4767377,0.05906666,9.559685
3.533,0,Acceleration,1.4764956,0.059501562,9.557731
3.554,0,Acceleration,1.4775852,0.05941881,9.557472
3.574,0,Acceleration,1.4768528,0.059885677,9.553677
3.594,0,Acceleration,1.477022,0.059884846,9.551652
3.614,0,Acceleration,1.4775715,0.059983317,9.550447
3.635,0,Acceleration,1.4784174,0.059774313,9.549401
3.655,0,Acceleration,1.4796276,0.059504133,9.552408
3.675,0,Acceleration,1.4802749,0.059626874,9.548955
3.696,0,Acceleration,1.4817859,0.05955063,9.549495
3.716,0,Acceleration,1.4821587,0.059735097,9.549061
3.736,0,Acceleration,1.4827327,0.059708286,9.5504265
