TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
0.004,0,Acceleration,1.2072564,0.056168493,9.595414
0.025,0,Acceleration,1.2070103,0.05609721,9.594635
0.045,0,Acceleration,1.2073935,0.055972546,9.59457
0.065,0,Acceleration,1.2077775,0.055628315,9.593679
0.085,0,Acceleration,1.208221,0.05511658,9.593894
0.106,0,Acceleration,1.2086058,0.05476097,9.593666
0.126,0,Acceleration,1.2089132,0.054616794,9.593337
0.146,0,Acceleration,1.2092744,0.05440154,9.593374
0.166,0,Acceleration,1.2093835,0.054820288,9.59445
0.187,0,Acceleration,1.2095941,0.05444502,9.59376
0.207,0,Acceleration,1.2097892,0.054334868,9.593721
0.227,0,Acceleration,1.2099041,0.054354202,9.594168
0.247,0,Acceleration,1.2102317,0.054468144,9.594624
0.268,0,Acceleration,1.2105186,0.054293882,9.594029
0.288,0,Acceleration,1.2109271,0.054180946,9.59403
0.308,0,Acceleration,1.2112738,0.054374546,9.593867
0.328,0,Acceleration,1.211764,0.05445318,9.594948
0.349,0,Acceleration,1.2120036,0.05440311,9.594675
0.369,0,Acceleration
0.389,0,Acceleration,1.2121178,0.05458231,9.595585
0.409,0,Acceleration,1.2120343,0.054620273,9.5963545
0.43,0,Acceleration,1.2115774,0.054714307,9.596862
0.45,0,Acceleration,1.2114769,0.054905355,9.5974655
0.47,0,Acceleration,1.2106525,0.05528282,9.597248
0.49,0,Acceleration,1.2104335,0.05533624,9.598488
0.511,0,Acceleration,1.2099472,0.055454444,9.59857
0.531,0,Acceleration,1.2098864,0.055852868,9.599219
0.551,0,Acceleration,1.2091867,0.056002874,9.599072
0.571,0,Acceleration,1.2088345,0.056442935,9.599927
0.592,0,Acceleration,1.2077537,0.056282606,9.598781
0.612,0,Acceleration,1.2073092,0.056853186,9.599615
0.632,0,Acceleration,1.2064712,0.056442365,9.598764
0.652,0,Acceleration,1.2059537,0.057027705,9.59928
0.673,0,Acceleration,1.2053304,0.056631606,9.598139
0.693,0,Acceleration,1.2048584,0.05713745,9.598539
0.713,0,Acceleration,1.2041126,0.05663197,9.597586
0.734,0,Acceleration,1.2037742,0.056801055,9.598241
0.754,0,Acceleration,1.2038674,0.056139488,9.59694
0.774,0,Acceleration,1.2039164,0.05649843,9.597676
0.794,0,Acceleration,1.2039298,0.05627926,9.596572
0.815,0,Acceleration,1.2041216,0.056204,9.59688
0.835,0,Acceleration,1.2040513,0.055795282,9.595665
0.855,0,Acceleration,1.2042781,0.055859037,9.596036
0.876,0,Acceleration,1.2046608,0.055701245,9.595791
0.896,0,Acceleration,1.2049387,0.055920895,9.596424
0.916,0,Acceleration,1.2050698,0.05576166,9.5961895
0.936,0,Acceleration,1.205297,0.055689804,9.596152
0.957,0,Acceleration,1.2057055,0.05571358,9.596772
0.977,0,Acceleration,1.2055864,0.055634014,9.597434
0.997,0,Acceleration,1.2060517,0.055081334,9.596959
1.017,0,Acceleration,1.2069155,0.0552974,9.597181
1.038,0,Acceleration,1.2074301,0.054914284,9.59628
1.058,0,Acceleration,1.2075543,0.055059537,9.596849
1.078,0,Acceleration,1.2079971,0.05458373,9.596192
1.098,0,Acceleration,1.2084274,0.05440468,9.59664
1.119,0,Acceleration,1.2086134,0.054360755,9.596101
1.139,0,Acceleration,1.2086556,0.054518625,9.596469
1.159,0,Acceleration,1.209049,0.054787263,9.595581
1.18,0,Acceleration,1.2091175,0.055340596,9.59593
1.2,0,Acceleration,1.2092811,0.055380434,9.594676
1.22,0,Acceleration,1.2092254,0.055619944,9.595471
1.241,0,Acceleration,1.2094145,0.055651184,9.594686
1.261,0,Acceleration,1.2091683,0.055932924,9.595985
1.282,0,Acceleration,1.2087474,0.056369934,9.595734
1.302,0,Acceleration,1.2085054,0.056476947,9.596424
1.322,0,Acceleration,1.2081772,0.056898903,9.595726
1.342,0,Acceleration,1.2081594,0.057027217,9.596742
1.363,0,Acceleration,1.2072928,0.05696708,9.596354
1.383,0,Acceleration,1.2070537,0.05708227,9.597738
1.403,0,Acceleration,1.2062209,0.05688019,9.597008
1.423,0,Acceleration,1.2058609,0.057128176,9.597866
1.444,0,Acceleration,1.2053537,0.05713758,9.597531
1.464,0,Acceleration,1.2047706,0.05739991,9.5983
1.484,0,Acceleration,1.2041061,0.057651754,9.597338
1.505,0,Acceleration,1.203435,0.05840106,9.598
1.525,0,Acceleration,1.2030895,0.05847771,9.597806
1.545,0,Acceleration,1.2026721,0.058866914,9.598947
1.565,0,Acceleration,1.2024922,0.05889883,9.598293
