,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
1,0.003,0,Acceleration,-1.2752029,-0.051704653,9.564795,0.004,0,Acceleration,-1.587967,0.034619942,9.509602000000001,0.004,0,Acceleration,1.2072564,0.056168493,9.595414,0.01302792733333333,0,0.006513963666666665,0.0,0.0,0.0,0.0
2,0.023,0.02,Acceleration,-1.2748564,-0.05141342400000001,9.56435,0.024,0.02,Acceleration,-1.588441,0.034494776,9.506969,0.025,0.021,Acceleration,1.2070103,0.05609721,9.594635,0.01305952066666666,0.02,0.00652976033333333,0.00012930781499999994,0.0,1.2930781499999995e-06,0.0
3,0.044,0.041,Acceleration,-1.2752424,-0.05167335,9.564785,0.045,0.04099999999999999,Acceleration,-1.5877602,0.034807127,9.50868,0.045,0.04099999999999999,Acceleration,1.2073935,0.055972546,9.59457,0.013035441,0.020999999999999987,0.0065177205,0.0001359969502499999,0.0,2.7857000351249963e-06,0.0
4,0.064,0.061,Acceleration,-1.2755296,-0.051893793,9.564671,0.065,0.061,Acceleration,-1.5876719,0.034671605,9.508227999999999,0.065,0.061,Acceleration,1.2077775,0.055628315,9.593679,0.01280204233333333,0.02000000000000001,0.006401021166666665,0.00012825185333333337,0.00012930781499999994,5.2286443358333345e-06,1.2930781499999995e-06
5,0.084,0.081,Acceleration,-1.2757828,-0.05154845,9.566295,0.085,0.081,Acceleration,-1.587472,0.03503809,9.508874,0.085,0.081,Acceleration,1.208221,0.05511658,9.593894,0.01286874,0.020000000000000004,0.00643437,0.00012878835666666667,0.0002653047652499998,7.876497404999998e-06,4.0787781851249956e-06
6,0.104,0.101,Acceleration,-1.2755412,-0.051473495,9.566524000000001,0.105,0.101,Acceleration,-1.5876768,0.03525751,9.508979,0.106,0.102,Acceleration,1.2086058,0.05476097,9.593666,0.01284832833333333,0.020000000000000004,0.006424164166666665,0.00012920822500000004,0.0003935566185833332,1.0451098188333334e-05,9.30742252095833e-06
7,0.125,0.122,Acceleration,-1.2752433,-0.05160289,9.567179,0.126,0.122,Acceleration,-1.5875996,0.03565289,9.509454,0.126,0.122,Acceleration,1.2089132,0.054616794,9.593337,0.01288893133333333,0.02099999999999999,0.006444465666666665,0.00013643360674999992,0.0005223449752499999,1.3758483713624991e-05,1.7183919925958327e-05
8,0.145,0.142,Acceleration,-1.275133,-0.05131504,9.566414,0.146,0.142,Acceleration,-1.5876341,0.03589345,9.509884,0.146,0.142,Acceleration,1.2092744,0.05440154,9.593374,0.01299331666666667,0.01999999999999999,0.006496658333333335,0.00012957782666666657,0.00065155320025,1.5691178339166656e-05,2.763501811429166e-05
9,0.165,0.162,Acceleration,-1.2751372,-0.05139561400000001,9.56655,0.166,0.162,Acceleration,-1.5869288,0.035870593,9.510585,0.166,0.162,Acceleration,1.2093835,0.05482028799999999,9.59445,0.01309842233333333,0.020000000000000018,0.006549211166666665,0.00012947392333333341,0.0007879868069999999,1.8350253640000013e-05,4.139350182791665e-05
10,0.185,0.182,Acceleration,-1.2754403,-0.051317114,9.566259,0.186,0.182,Acceleration,-1.5869538,0.03563884,9.510846,0.187,0.183,Acceleration,1.2095941,0.05444502,9.593760000000001,0.01292224866666666,0.01999999999999999,0.00646112433333333,0.00012842129999999995,0.0009175646336666665,2.0930244906666654e-05,5.708468016708331e-05
