TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
1591399137547,0,acc,0.0545349,-0.0545349,-0.990784
1591399137561,0,acc,0.0511627,-0.0538025,-0.990005
1591399137583,0,acc,0.0487823,-0.0495148,-0.976257
1591399137601,0,acc,0.0553436,-0.0443573,-0.986465
1591399137622,0,acc,0.0542603,-0.042572,-0.990448
1591399137642,0,acc,0.0518036,-0.0407257,-0.986206
1591399137662,0,acc,0.0513306,-0.0498199,-0.986755
1591399137682,0,acc,0.0515137,-0.0515747,-0.983139
1591399137702,0,acc,0.0526123,-0.0569458,-0.992783
1591399137722,0,acc,0.052002,-0.0633545,-0.992111
1591399137742,0,acc,0.0508575,-0.0610504,-0.982559
1591399137763,0,acc,0.0516968,-0.0576324,-0.982956
1591399137783,0,acc,0.0519104,-0.0514221,-0.996033
1591399137803,0,acc,0.0488892,-0.0599365,-0.99147
1591399137823,0,acc,0.0508881,-0.0640411,-0.992157
1591399137843,0,acc,0.0558472,-0.0639954,-0.989319
1591399137863,0,acc,-0.0336456,-0.0935059,-1.00058
1591399137882,0,acc,0.0740509,-0.078537,-0.988342
1591399137903,0,acc,0.143326,-0.0256195,-0.987289
1591399137923,0,acc,0.0543976,-0.0718384,-0.990265
1591399137943,0,acc,0.0490112,-0.0759125,-0.988953
1591399137963,0,acc,0.0537109,-0.0708771,-0.993851
1591399137983,0,acc,0.0586243,-0.0803223,-0.996628
1591399138003,0,acc,0.0498657,-0.0789948,-0.983276
1591399138024,0,acc,0.0497742,-0.0733795,-0.990692
1591399138044,0,acc,0.0575104,-0.0815735,-0.997452
1591399138064,0,acc,0.053009,-0.0812073,-0.985703
1591399138084,0,acc,0.0526886,-0.0766296,-0.990051
1591399138104,0,acc,0.0520325,-0.0844116,-0.991379
1591399138124,0,acc,0.0536041,-0.0791931,-0.984604
1591399138144,0,acc,0.0526428,-0.0864868,-0.999023
1591399138164,0,acc,0.0514832,-0.0822296,-0.980621
1591399138184,0,acc,0.0566254,-0.0868988,-0.997177
1591399138205,0,acc,0.0483856,-0.0887451,-0.990356
1591399138225,0,acc,0.0520325,-0.0847778,-0.980591
1591399138244,0,acc,0.0528717,-0.0980835,-0.999725
1591399138265,0,acc,0.0501251,-0.0893555,-0.981659
1591399138285,0,acc,0.050705,-0.0980225,-0.993805
1591399138305,0,acc,0.0479736,-0.0928955,-0.981949
1591399138325,0,acc,0.0510559,-0.0988617,-0.990814
1591399138345,0,acc,0.0483246,-0.0982971,-0.988754
1591399138365,0,acc,0.0484467,-0.101059,-0.991531
1591399138385,0,acc,0.0492401,-0.105743,-0.981262
1591399138406,0,acc,0.0493622,-0.105103,-0.994095
1591399138426,0,acc,0.0465546,-0.10173,-0.977768
1591399138446,0,acc,0.0486145,-0.107864,-0.988495
1591399138466,0,acc,0.0490723,-0.10553,-0.991135
1591399138486,0,acc,0.04953,-0.11235,-0.988083
1591399138505,0,acc,0.046402,-0.111618,-0.989182
1591399138526,0,acc,0.048645,-0.114304,-0.984451
1591399138546,0,acc,0.0499725,-0.11058,-0.991257
1591399138566,0,acc,0.0442505,-0.116455,-0.991745
1591399138586,0,acc,0.0502014,-0.116867,-0.990967
1591399138606,0,acc,0.0485687,-0.120285,-0.989807
